K,covariance,BIC,AIC,silhouette,calinski_harabasz,davies_bouldin,median_max_posterior,p10_max_posterior,median_normalized_entropy,converged,n_iter,fit_seconds,warnings,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_ari_p05,bootstrap_mean_cluster_jaccard,bootstrap_min_cluster_jaccard_mean,bootstrap_min_cluster_jaccard_p05
2,full,-2066872.6533955955,-2100287.2511887955,0.09332110746286534,212.90158892963282,3.850643387419923,0.9999999997929194,0.9901608275433158,6.961104111256597e-09,True,30,3.7427689999967697,,1597,0.4444753687726134,1996,0.5555246312273866,"[1996, 1597]",0.5965354774558215,0.3126371828676649,0.0003763051369912936,0.7717935408618029,0.7360774545094066,0.20783484802732619
3,full,-2079512.1085246648,-2129637.0985858585,0.04970057682164101,116.09379555466516,6.003255875713715,0.9999999995256985,0.996912158779484,9.709541080475095e-09,True,24,5.667617099999916,,494,0.13748956303924298,1701,0.4734205399387698,"[1701, 1398, 494]",0.6964392236490319,0.0763876749079659,0.5722543879679052,0.7285950822810452,0.5130359279907841,0.34931329974492487
4,full,-2070762.9311709786,-2137598.313500166,-0.013754469793423152,110.09620909591484,5.759654122425765,0.9999986670076526,0.9764969578224343,1.3969489294887401e-05,True,19,7.2323145999980625,,337,0.09379348733648761,1155,0.32145839131644866,"[1155, 1085, 1016, 337]",0.5375120458549085,0.05527498468618414,0.5042190104741091,0.5457279341650726,0.287419949679134,0.222203832564079
5,full,-2054368.7990127746,-2137914.5736099556,-0.026354113301423707,103.53635834154653,6.279436466424618,0.9999976899011893,0.9805654625259742,2.0329274718869037e-05,True,33,10.297535199999402,,230,0.064013359309769,1147,0.3192318396882828,"[1147, 1023, 959, 234, 230]",0.5723416888097679,0.07074643332547863,0.47706450102451214,0.5318595634028237,0.2127189396541918,0.008290439200086014
6,full,-2038340.055679622,-2138596.2225447968,-0.034255272378889944,94.24024083201105,5.893837220657424,0.9999968648670265,0.9851549276278715,2.435020854727019e-05,True,30,11.229493300001195,,156,0.04341775674923462,1081,0.30086278875591427,"[1081, 957, 867, 314, 218, 156]",0.5004742912495833,0.05591357508927031,0.4323827518687697,0.4039143301671417,0.06637809221429669,0.0027306294480609356
7,full,-2021072.6105225265,-2138039.1696556946,-0.029100033307738235,93.07295800995406,4.838273107541391,0.9999970225895809,0.9854973330058239,2.1062032025339716e-05,True,39,14.168435699997644,,135,0.037573058725299195,1037,0.28861675480100196,"[1037, 910, 886, 279, 187, 159, 135]",0.5180640167222552,0.07116685191338318,0.40711160534622076,0.4168378610583819,0.10025173879539342,0.013420787083753785
8,full,-2003316.3628197524,-2136993.314220914,-0.0235218994359188,81.90054276393526,4.60422697964569,0.9999977367618872,0.9876205223250747,1.5595057522320632e-05,True,29,17.67537689999881,,115,0.0320066796548845,1084,0.3016977456164765,"[1084, 913, 805, 216, 170, 145, 145, 115]",0.5328827167664221,0.05783326449350496,0.4380096358481478,0.36943005386840805,0.03282994187055023,0.0
9,full,-1985068.5339553815,-2135455.877624537,-0.0373506264943031,86.82483137393244,5.706798403664078,0.9999774804073722,0.9777820037086569,0.00012227992474579644,True,41,18.022175599995535,,83,0.023100473142220985,891,0.24798218758697468,"[891, 842, 517, 502, 269, 204, 170, 115, 83]",,,,,,
10,full,-1964847.9702200016,-2131945.7061571507,-0.032035218208904766,81.320708783709,4.99390893176503,0.9999967158652721,0.981754121228924,1.9473356171226533e-05,True,28,23.689263400003256,,91,0.025327024770386862,1003,0.27915391038129694,"[1003, 855, 532, 488, 141, 130, 129, 126, 98, 91]",,,,,,
11,full,-1948068.2366114717,-2131876.3648166144,-0.03665230301198731,79.2833151656123,4.7316564329299755,0.9999979582451981,0.9836464699951799,1.2194076492300834e-05,True,24,24.5862472000008,,76,0.021152240467575842,873,0.24297244642360144,"[873, 835, 533, 522, 160, 143, 137, 124, 100, 90, 76]",,,,,,
12,full,-1927590.5446216022,-2128109.0650947383,-0.028728430050482902,81.46345412833503,4.183838176195945,0.9999989286649279,0.9922698330951051,6.5178340839896485e-06,True,20,26.385577799999737,,69,0.0192040077929307,864,0.24046757584191483,"[864, 860, 690, 212, 183, 160, 146, 111, 106, 99, 93, 69]",,,,,,
