K,covariance,BIC,AIC,silhouette,calinski_harabasz,davies_bouldin,min_cluster_n,max_cluster_n,min_cluster_share,converged,n_iter,convergence_warnings,delta_BIC_within_diag
2,diag,94356.18199275956,89429.94233089079,0.645972708188526,828.6560285850618,0.536141038033317,126,144,0.4666666666666667,True,2,0,36852.73192648604
3,diag,76238.15141468882,68846.99271090615,0.32249015328294456,429.44286804401355,2.1653986916537606,52,126,0.1925925925925926,True,14,0,18734.7013484153
4,diag,67853.19921911579,57997.12147341924,0.12616316282860676,329.1689869199998,2.618759870773327,52,92,0.1925925925925926,True,11,0,10349.749152842269
5,diag,63478.0301136734,51157.03332606296,0.08161641922245015,251.2084010162831,2.862436149315195,39,65,0.14444444444444443,True,7,0,5974.580047399875
6,diag,58633.80044821417,43847.88461868985,0.09107068303915783,220.58604133045128,2.5484995242227098,30,62,0.1111111111111111,True,9,0,1130.350381940647
7,diag,59373.45314900232,42122.618277564114,0.05966308052151342,191.60153289884053,2.685054666297412,25,62,0.09259259259259259,True,16,0,1870.0030827287992
8,diag,58580.5768599624,38864.82294661031,0.06321062792797136,174.99278734865527,2.4627779532977847,2,63,0.007407407407407408,True,11,0,1077.1267936888762
9,diag,57503.45006627352,35322.77711100754,0.05874130899630839,154.14175328159266,2.3549946271023083,1,41,0.003703703703703704,True,12,0,0.0
10,diag,60923.72284425222,36278.130847072345,0.07180294704106416,156.56880962988743,2.269594787079199,3,56,0.011111111111111112,True,11,0,3420.2727779786946
11,diag,63271.54815943772,36161.03712034397,0.08647399222528808,146.98770635871978,2.3017621128358643,3,44,0.011111111111111112,True,12,0,5768.098093164197
12,diag,62116.77518236161,32541.34510135397,0.048199870722590674,127.03213726758639,2.2091486053158746,1,47,0.003703703703703704,True,13,0,4613.32511608809
